,Date,Daily Energy Demand,Date_DateObj,Day
126,12/21/2021,7401891,2021-12-21,Tuesday
127,12/22/2021,7339288,2021-12-22,Wednesday
128,12/23/2021,7222059,2021-12-23,Thursday
129,12/24/2021,6436591,2021-12-24,Friday
130,12/25/2021,6337634,2021-12-25,Saturday
131,12/26/2021,6372101,2021-12-26,Sunday
132,12/27/2021,7098254,2021-12-27,Monday
133,12/28/2021,7243624,2021-12-28,Tuesday
134,12/29/2021,7366777,2021-12-29,Wednesday
135,12/30/2021,7047937,2021-12-30,Thursday
136,12/31/2021,6590078,2021-12-31,Friday
137,01/01/2022,6228717,2022-01-01,Saturday
138,01/02/2022,6394833,2022-01-02,Sunday
139,01/03/2022,7054953,2022-01-03,Monday
140,01/04/2022,6993895,2022-01-04,Tuesday
141,01/05/2022,6903371,2022-01-05,Wednesday
142,01/06/2022,6904184,2022-01-06,Thursday
143,01/07/2022,6988802,2022-01-07,Friday
144,01/08/2022,6366574,2022-01-08,Saturday
145,01/09/2022,6183482,2022-01-09,Sunday
146,01/10/2022,6878297,2022-01-10,Monday
147,01/11/2022,6794368,2022-01-11,Tuesday
148,01/12/2022,6867748,2022-01-12,Wednesday
149,01/13/2022,6940015,2022-01-13,Thursday
150,01/14/2022,6725816,2022-01-14,Friday
151,01/15/2022,6462996,2022-01-15,Saturday
152,01/16/2022,6036227,2022-01-16,Sunday
153,01/17/2022,6642571,2022-01-17,Monday
154,01/18/2022,6668689,2022-01-18,Tuesday
155,01/19/2022,6668689,2022-01-19,Wednesday
156,01/20/2022,6677589,2022-01-20,Thursday
157,01/21/2022,6674408,2022-01-21,Friday
158,01/22/2022,6086337,2022-01-22,Saturday
159,01/23/2022,5956309,2022-01-23,Sunday
160,01/24/2022,6638385,2022-01-24,Monday
161,01/25/2022,6743012,2022-01-25,Tuesday
162,01/26/2022,6802424,2022-01-26,Wednesday
163,01/27/2022,6814736,2022-01-27,Thursday
164,01/28/2022,6818285,2022-01-28,Friday
165,01/29/2022,6450674,2022-01-29,Saturday
166,01/30/2022,6052928,2022-01-30,Sunday
167,01/31/2022,6984848,2022-01-31,Monday
168,02/01/2022,6828661,2022-02-01,Tuesday
169,02/02/2022,6775511,2022-02-02,Wednesday
170,02/03/2022,6827668,2022-02-03,Thursday
171,02/04/2022,6690264,2022-02-04,Friday
172,02/05/2022,6174333,2022-02-05,Saturday
173,02/06/2022,5891963,2022-02-06,Sunday
174,02/07/2022,6578625,2022-02-07,Monday
175,02/08/2022,6615780,2022-02-08,Tuesday
176,02/09/2022,6706584,2022-02-09,Wednesday
177,02/10/2022,6697369,2022-02-10,Thursday
178,02/11/2022,6588891,2022-02-11,Friday
179,02/12/2022,6060498,2022-02-12,Saturday
180,02/13/2022,5803401,2022-02-13,Sunday
181,02/14/2022,6429394,2022-02-14,Monday
182,02/15/2022,6624477,2022-02-15,Tuesday
183,02/16/2022,6551235,2022-02-16,Wednesday
184,02/17/2022,6532427,2022-02-17,Thursday
185,02/18/2022,6500588,2022-02-18,Friday
186,02/19/2022,5932712,2022-02-19,Saturday
187,02/20/2022,5703263,2022-02-20,Sunday
188,02/21/2022,6349753,2022-02-21,Monday
189,02/22/2022,6915356,2022-02-22,Tuesday
190,02/23/2022,7014678,2022-02-23,Wednesday
191,02/24/2022,6977113,2022-02-24,Thursday
192,02/25/2022,6810251,2022-02-25,Friday
193,02/26/2022,6254515,2022-02-26,Saturday
194,02/27/2022,5762478,2022-02-27,Sunday
195,02/28/2022,6487842,2022-02-28,Monday
196,03/01/2022,6610397,2022-03-01,Tuesday
197,03/02/2022,6586510,2022-03-02,Wednesday
198,03/03/2022,6631218,2022-03-03,Thursday
199,03/04/2022,6636158,2022-03-04,Friday
200,03/05/2022,6142771,2022-03-05,Saturday
201,03/06/2022,5827350,2022-03-06,Sunday
202,03/07/2022,6460883,2022-03-07,Monday
203,03/08/2022,6452534,2022-03-08,Tuesday
204,03/09/2022,6411974,2022-03-09,Wednesday
205,03/10/2022,6423279,2022-03-10,Thursday
206,03/11/2022,6377514,2022-03-11,Friday
207,03/12/2022,5846505,2022-03-12,Saturday
208,03/13/2022,5350644,2022-03-13,Sunday
209,03/14/2022,6381922,2022-03-14,Monday
210,03/15/2022,6572150,2022-03-15,Tuesday
