,Date,Max Temp,Station ID,Station Location
79,2018-03-21,66.0,GHCND:USW00023174,Los Angeles International Airport
80,2018-03-22,63.0,GHCND:USW00023174,Los Angeles International Airport
81,2018-03-23,63.0,GHCND:USW00023174,Los Angeles International Airport
82,2018-03-24,62.0,GHCND:USW00023174,Los Angeles International Airport
83,2018-03-25,61.0,GHCND:USW00023174,Los Angeles International Airport
84,2018-03-26,69.0,GHCND:USW00023174,Los Angeles International Airport
85,2018-03-27,79.0,GHCND:USW00023174,Los Angeles International Airport
86,2018-03-28,70.0,GHCND:USW00023174,Los Angeles International Airport
87,2018-03-29,63.0,GHCND:USW00023174,Los Angeles International Airport
88,2018-03-30,66.0,GHCND:USW00023174,Los Angeles International Airport
89,2018-03-31,61.0,GHCND:USW00023174,Los Angeles International Airport
90,2018-04-01,64.0,GHCND:USW00023174,Los Angeles International Airport
91,2018-04-02,67.0,GHCND:USW00023174,Los Angeles International Airport
92,2018-04-03,66.0,GHCND:USW00023174,Los Angeles International Airport
93,2018-04-04,63.0,GHCND:USW00023174,Los Angeles International Airport
94,2018-04-05,64.0,GHCND:USW00023174,Los Angeles International Airport
95,2018-04-06,66.0,GHCND:USW00023174,Los Angeles International Airport
96,2018-04-07,67.0,GHCND:USW00023174,Los Angeles International Airport
97,2018-04-08,72.0,GHCND:USW00023174,Los Angeles International Airport
98,2018-04-09,83.0,GHCND:USW00023174,Los Angeles International Airport
99,2018-04-10,79.0,GHCND:USW00023174,Los Angeles International Airport
100,2018-04-11,74.0,GHCND:USW00023174,Los Angeles International Airport
101,2018-04-12,68.0,GHCND:USW00023174,Los Angeles International Airport
102,2018-04-13,78.0,GHCND:USW00023174,Los Angeles International Airport
103,2018-04-14,82.0,GHCND:USW00023174,Los Angeles International Airport
104,2018-04-15,72.0,GHCND:USW00023174,Los Angeles International Airport
105,2018-04-16,64.0,GHCND:USW00023174,Los Angeles International Airport
106,2018-04-17,66.0,GHCND:USW00023174,Los Angeles International Airport
107,2018-04-18,68.0,GHCND:USW00023174,Los Angeles International Airport
108,2018-04-19,62.0,GHCND:USW00023174,Los Angeles International Airport
109,2018-04-20,72.0,GHCND:USW00023174,Los Angeles International Airport
110,2018-04-21,76.0,GHCND:USW00023174,Los Angeles International Airport
111,2018-04-22,73.0,GHCND:USW00023174,Los Angeles International Airport
112,2018-04-23,68.0,GHCND:USW00023174,Los Angeles International Airport
113,2018-04-24,64.0,GHCND:USW00023174,Los Angeles International Airport
114,2018-04-25,64.0,GHCND:USW00023174,Los Angeles International Airport
115,2018-04-26,65.0,GHCND:USW00023174,Los Angeles International Airport
116,2018-04-27,66.0,GHCND:USW00023174,Los Angeles International Airport
117,2018-04-28,68.0,GHCND:USW00023174,Los Angeles International Airport
118,2018-04-29,67.0,GHCND:USW00023174,Los Angeles International Airport
119,2018-04-30,66.0,GHCND:USW00023174,Los Angeles International Airport
120,2018-05-01,61.0,GHCND:USW00023174,Los Angeles International Airport
121,2018-05-02,65.0,GHCND:USW00023174,Los Angeles International Airport
122,2018-05-03,67.0,GHCND:USW00023174,Los Angeles International Airport
123,2018-05-04,76.0,GHCND:USW00023174,Los Angeles International Airport
124,2018-05-05,75.0,GHCND:USW00023174,Los Angeles International Airport
125,2018-05-06,73.0,GHCND:USW00023174,Los Angeles International Airport
126,2018-05-07,70.0,GHCND:USW00023174,Los Angeles International Airport
127,2018-05-08,69.0,GHCND:USW00023174,Los Angeles International Airport
128,2018-05-09,69.0,GHCND:USW00023174,Los Angeles International Airport
129,2018-05-10,69.0,GHCND:USW00023174,Los Angeles International Airport
130,2018-05-11,65.0,GHCND:USW00023174,Los Angeles International Airport
131,2018-05-12,67.0,GHCND:USW00023174,Los Angeles International Airport
132,2018-05-13,68.0,GHCND:USW00023174,Los Angeles International Airport
133,2018-05-14,67.0,GHCND:USW00023174,Los Angeles International Airport
134,2018-05-15,68.0,GHCND:USW00023174,Los Angeles International Airport
135,2018-05-16,70.0,GHCND:USW00023174,Los Angeles International Airport
136,2018-05-17,70.0,GHCND:USW00023174,Los Angeles International Airport
137,2018-05-18,67.0,GHCND:USW00023174,Los Angeles International Airport
138,2018-05-19,67.0,GHCND:USW00023174,Los Angeles International Airport
139,2018-05-20,68.0,GHCND:USW00023174,Los Angeles International Airport
140,2018-05-21,66.0,GHCND:USW00023174,Los Angeles International Airport
141,2018-05-22,67.0,GHCND:USW00023174,Los Angeles International Airport
142,2018-05-23,67.0,GHCND:USW00023174,Los Angeles International Airport
143,2018-05-24,66.0,GHCND:USW00023174,Los Angeles International Airport
144,2018-05-25,68.0,GHCND:USW00023174,Los Angeles International Airport
145,2018-05-26,68.0,GHCND:USW00023174,Los Angeles International Airport
