,Date,Min Temp,Station ID,Station Location
79,2018-03-21,56.0,GHCND:USW00023174,Los Angeles International Airport
80,2018-03-22,57.0,GHCND:USW00023174,Los Angeles International Airport
81,2018-03-23,55.0,GHCND:USW00023174,Los Angeles International Airport
82,2018-03-24,50.0,GHCND:USW00023174,Los Angeles International Airport
83,2018-03-25,51.0,GHCND:USW00023174,Los Angeles International Airport
84,2018-03-26,52.0,GHCND:USW00023174,Los Angeles International Airport
85,2018-03-27,50.0,GHCND:USW00023174,Los Angeles International Airport
86,2018-03-28,52.0,GHCND:USW00023174,Los Angeles International Airport
87,2018-03-29,53.0,GHCND:USW00023174,Los Angeles International Airport
88,2018-03-30,52.0,GHCND:USW00023174,Los Angeles International Airport
89,2018-03-31,52.0,GHCND:USW00023174,Los Angeles International Airport
90,2018-04-01,54.0,GHCND:USW00023174,Los Angeles International Airport
91,2018-04-02,57.0,GHCND:USW00023174,Los Angeles International Airport
92,2018-04-03,56.0,GHCND:USW00023174,Los Angeles International Airport
93,2018-04-04,55.0,GHCND:USW00023174,Los Angeles International Airport
94,2018-04-05,56.0,GHCND:USW00023174,Los Angeles International Airport
95,2018-04-06,55.0,GHCND:USW00023174,Los Angeles International Airport
96,2018-04-07,57.0,GHCND:USW00023174,Los Angeles International Airport
97,2018-04-08,54.0,GHCND:USW00023174,Los Angeles International Airport
98,2018-04-09,56.0,GHCND:USW00023174,Los Angeles International Airport
99,2018-04-10,60.0,GHCND:USW00023174,Los Angeles International Airport
100,2018-04-11,57.0,GHCND:USW00023174,Los Angeles International Airport
101,2018-04-12,55.0,GHCND:USW00023174,Los Angeles International Airport
102,2018-04-13,59.0,GHCND:USW00023174,Los Angeles International Airport
103,2018-04-14,55.0,GHCND:USW00023174,Los Angeles International Airport
104,2018-04-15,54.0,GHCND:USW00023174,Los Angeles International Airport
105,2018-04-16,54.0,GHCND:USW00023174,Los Angeles International Airport
106,2018-04-17,52.0,GHCND:USW00023174,Los Angeles International Airport
107,2018-04-18,52.0,GHCND:USW00023174,Los Angeles International Airport
108,2018-04-19,51.0,GHCND:USW00023174,Los Angeles International Airport
109,2018-04-20,51.0,GHCND:USW00023174,Los Angeles International Airport
110,2018-04-21,53.0,GHCND:USW00023174,Los Angeles International Airport
111,2018-04-22,56.0,GHCND:USW00023174,Los Angeles International Airport
112,2018-04-23,54.0,GHCND:USW00023174,Los Angeles International Airport
113,2018-04-24,53.0,GHCND:USW00023174,Los Angeles International Airport
114,2018-04-25,55.0,GHCND:USW00023174,Los Angeles International Airport
115,2018-04-26,56.0,GHCND:USW00023174,Los Angeles International Airport
116,2018-04-27,56.0,GHCND:USW00023174,Los Angeles International Airport
117,2018-04-28,54.0,GHCND:USW00023174,Los Angeles International Airport
118,2018-04-29,55.0,GHCND:USW00023174,Los Angeles International Airport
119,2018-04-30,55.0,GHCND:USW00023174,Los Angeles International Airport
120,2018-05-01,54.0,GHCND:USW00023174,Los Angeles International Airport
121,2018-05-02,54.0,GHCND:USW00023174,Los Angeles International Airport
122,2018-05-03,54.0,GHCND:USW00023174,Los Angeles International Airport
123,2018-05-04,56.0,GHCND:USW00023174,Los Angeles International Airport
124,2018-05-05,58.0,GHCND:USW00023174,Los Angeles International Airport
125,2018-05-06,57.0,GHCND:USW00023174,Los Angeles International Airport
126,2018-05-07,55.0,GHCND:USW00023174,Los Angeles International Airport
127,2018-05-08,55.0,GHCND:USW00023174,Los Angeles International Airport
128,2018-05-09,59.0,GHCND:USW00023174,Los Angeles International Airport
129,2018-05-10,60.0,GHCND:USW00023174,Los Angeles International Airport
130,2018-05-11,60.0,GHCND:USW00023174,Los Angeles International Airport
131,2018-05-12,58.0,GHCND:USW00023174,Los Angeles International Airport
132,2018-05-13,59.0,GHCND:USW00023174,Los Angeles International Airport
133,2018-05-14,55.0,GHCND:USW00023174,Los Angeles International Airport
134,2018-05-15,56.0,GHCND:USW00023174,Los Angeles International Airport
135,2018-05-16,55.0,GHCND:USW00023174,Los Angeles International Airport
136,2018-05-17,54.0,GHCND:USW00023174,Los Angeles International Airport
137,2018-05-18,58.0,GHCND:USW00023174,Los Angeles International Airport
138,2018-05-19,58.0,GHCND:USW00023174,Los Angeles International Airport
139,2018-05-20,59.0,GHCND:USW00023174,Los Angeles International Airport
140,2018-05-21,59.0,GHCND:USW00023174,Los Angeles International Airport
141,2018-05-22,59.0,GHCND:USW00023174,Los Angeles International Airport
142,2018-05-23,59.0,GHCND:USW00023174,Los Angeles International Airport
143,2018-05-24,59.0,GHCND:USW00023174,Los Angeles International Airport
144,2018-05-25,58.0,GHCND:USW00023174,Los Angeles International Airport
145,2018-05-26,57.0,GHCND:USW00023174,Los Angeles International Airport
146,2018-05-27,58.0,GHCND:USW00023174,Los Angeles International Airport
147,2018-05-28,59.0,GHCND:USW00023174,Los Angeles International Airport
148,2018-05-29,61.0,GHCND:USW00023174,Los Angeles International Airport
149,2018-05-30,60.0,GHCND:USW00023174,Los Angeles International Airport
150,2018-05-31,60.0,GHCND:USW00023174,Los Angeles International Airport
151,2018-06-01,57.0,GHCND:USW00023174,Los Angeles International Airport
152,2018-06-02,59.0,GHCND:USW00023174,Los Angeles International Airport
153,2018-06-03,61.0,GHCND:USW00023174,Los Angeles International Airport
154,2018-06-04,60.0,GHCND:USW00023174,Los Angeles International Airport
155,2018-06-05,61.0,GHCND:USW00023174,Los Angeles International Airport
156,2018-06-06,60.0,GHCND:USW00023174,Los Angeles International Airport
157,2018-06-07,58.0,GHCND:USW00023174,Los Angeles International Airport
158,2018-06-08,59.0,GHCND:USW00023174,Los Angeles International Airport
159,2018-06-09,61.0,GHCND:USW00023174,Los Angeles International Airport
160,2018-06-10,62.0,GHCND:USW00023174,Los Angeles International Airport
161,2018-06-11,61.0,GHCND:USW00023174,Los Angeles International Airport
162,2018-06-12,62.0,GHCND:USW00023174,Los Angeles International Airport
163,2018-06-13,60.0,GHCND:USW00023174,Los Angeles International Airport
164,2018-06-14,61.0,GHCND:USW00023174,Los Angeles International Airport
165,2018-06-15,62.0,GHCND:USW00023174,Los Angeles International Airport
166,2018-06-16,63.0,GHCND:USW00023174,Los Angeles International Airport
167,2018-06-17,62.0,GHCND:USW00023174,Los Angeles International Airport
168,2018-06-18,61.0,GHCND:USW00023174,Los Angeles International Airport
169,2018-06-19,60.0,GHCND:USW00023174,Los Angeles International Airport
170,2018-06-20,61.0,GHCND:USW00023174,Los Angeles International Airport
171,2018-06-21,64.0,GHCND:USW00023174,Los Angeles International Airport
172,2018-06-22,62.0,GHCND:USW00023174,Los Angeles International Airport
